code,tm,signal_name,period,chg_pct_4,chg_pct_8,chg_pct_16,chg_pct_20,chg_pct_24
601398.XSHG,2018-03-13 14:00:00,Gold,60m,-0.00963081861958,-0.00642054574639,-0.0144462279294,0.00321027287319,-0.00321027287319
002236.XSHE,2018-03-13 15:00:00,Death,60m,-0.00281789362452,-0.0299401197605,-0.070799577316,-0.0278266995421,-0.0700951039098
300187.XSHE,2018-03-13 15:00:00,Death,60m,-0.00954198473282,-0.0200381679389,-0.0419847328244,-0.0314885496183,-0.043893129771
002415.XSHE,2018-03-14 10:30:00,Death,60m,0.0102089268756,-0.00783475783476,-0.00403608736942,0.0375118708452,0.0275403608737
601398.XSHG,2018-03-14 10:30:00,Death,60m,0.00487804878049,-0.00162601626016,0.00975609756098,0.0146341463415,-0.00325203252033
000651.XSHE,2018-03-14 10:30:00,Death,60m,0.028209556707,0.0293609671848,-0.00287852619459,-0.00153521397045,-0.0378046440223
002466.XSHE,2018-03-15 10:30:00,Death,60m,0.00614787251254,0.000161786118751,-0.0265329234752,-0.0556544248503,-0.122148519657
601398.XSHG,2018-03-15 14:00:00,Gold,60m,-0.0145395799677,-0.00807754442649,0.0032310177706,0.0,-0.0258481421648
000651.XSHE,2018-03-15 14:00:00,Gold,60m,-0.0094830792116,-0.0158051320193,-0.0373744886575,-0.0728895500186,-0.0916697657122
600085.XSHG,2018-03-16 14:00:00,Gold,60m,0.0177603853101,0.0243829018663,0.00993377483444,-0.00270921131848,0.0156532209512
601398.XSHG,2018-03-16 15:00:00,Death,60m,0.0214521452145,0.0313531353135,-0.0115511551155,-0.0313531353135,-0.0528052805281
000651.XSHE,2018-03-19 10:30:00,Death,60m,-0.0123550655769,-0.0110245200532,-0.087245770766,-0.0956091997719,-0.0845846797187
002028.XSHE,2018-03-19 11:30:00,Gold,60m,0.0136815920398,0.0174129353234,-0.0136815920398,-0.00621890547264,0.0068407960199
002028.XSHE,2018-03-19 14:00:00,Death,60m,0.0254658385093,0.00372670807453,-0.0211180124224,-0.00496894409938,0.00186335403727
601398.XSHG,2018-03-19 15:00:00,Gold,60m,0.00969305331179,-0.0032310177706,-0.0516962843296,-0.0726978998384,-0.064620355412
300187.XSHE,2018-03-19 15:00:00,Gold,60m,0.0109561752988,-0.00199203187251,-0.0906374501992,-0.054780876494,-0.0338645418327
300187.XSHE,2018-03-20 10:30:00,Death,60m,0.00796019900498,-0.00199004975124,-0.0985074626866,-0.0507462686567,-0.0338308457711
000006.XSHE,2018-03-20 11:30:00,Gold,60m,0.00653594771242,-0.0078431372549,-0.0993464052288,-0.078431372549,-0.0732026143791
002028.XSHE,2018-03-20 14:00:00,Gold,60m,-0.0211992731678,-0.0145366444579,-0.0296789824349,-0.023016353725,-0.0345245305875
600703.XSHG,2018-03-20 15:00:00,Gold,60m,-0.037743042318,-0.072817384674,-0.0526115135341,-0.0548989706443,-0.162028211971
002236.XSHE,2018-03-21 10:30:00,Gold,60m,-0.0406767458603,-0.115190784737,-0.053275737941,-0.0691144708423,-0.103671706263
002415.XSHE,2018-03-21 10:30:00,Gold,60m,-0.00961098398169,-0.066590389016,-0.0171624713959,-0.0464530892449,-0.0743707093822
600085.XSHG,2018-03-21 15:00:00,Death,60m,-0.0113738401676,-0.0107752170009,0.0188566297516,-0.0179586950015,0.0128703980844
600703.XSHG,2018-03-22 11:30:00,Death,60m,-0.0631825273011,-0.0577223088924,-0.0452418096724,-0.110374414977,-0.0978939157566
601398.XSHG,2018-03-22 14:00:00,Death,60m,-0.0258481421648,-0.0694668820679,-0.0726978998384,-0.0581583198708,-0.0581583198708
300187.XSHE,2018-03-22 14:00:00,Gold,60m,-0.0697906281157,-0.0677966101695,-0.0448654037886,-0.0428713858425,-0.0408773678963
002236.XSHE,2018-03-22 15:00:00,Death,60m,-0.00119664938173,0.0542481053051,-0.0103709613083,0.0279218189071,-0.0323095333067
601398.XSHG,2018-03-22 15:00:00,Gold,60m,-0.0200333889816,-0.0417362270451,-0.0484140233723,-0.025041736227,-0.0333889816361
002415.XSHE,2018-03-23 10:30:00,Death,60m,0.00956116695268,0.0529541554303,-0.00833537631772,0.0102966413337,-0.00637411130179
601398.XSHG,2018-03-23 10:30:00,Death,60m,-0.0301507537688,-0.0435510887772,-0.0335008375209,-0.0234505862647,-0.0402010050251
300187.XSHE,2018-03-23 10:30:00,Death,60m,-0.0630816959669,-0.0134436401241,-0.0113753877973,-0.00723888314374,0.00206825232678
002028.XSHE,2018-03-23 11:30:00,Death,60m,0.00756620428752,0.0208070617907,0.0176544766709,0.015762925599,0.0365699873897
000006.XSHE,2018-03-23 14:00:00,Death,60m,0.00430416068867,0.0172166427547,0.0459110473458,0.0286944045911,0.0114777618364
002236.XSHE,2018-03-26 15:00:00,Gold,60m,0.00416193719258,-0.061293984109,-0.0821036700719,-0.0874006810443,-0.0938327657964
002466.XSHE,2018-03-27 10:30:00,Gold,60m,-0.00238744884038,-0.0202933151432,-0.012619372442,-0.0405866302865,-0.0509890859482
002415.XSHE,2018-03-27 10:30:00,Gold,60m,-0.0298020954598,-0.058207217695,-0.0563445867288,-0.0605355064028,-0.0419091967404
002028.XSHE,2018-03-27 10:30:00,BottomDivergence,60m,-0.00925354719309,-0.00925354719309,0.00616903146206,0.00801974090068,0.0271437384331
002028.XSHE,2018-03-27 10:30:00,Gold,60m,-0.00925354719309,-0.00925354719309,0.00616903146206,0.00801974090068,0.0271437384331
600085.XSHG,2018-03-27 10:30:00,Gold,60m,-0.00526932084309,-0.0348360655738,-0.00263466042155,0.0281030444965,0.102166276347
600703.XSHG,2018-03-27 11:30:00,Gold,60m,-0.0289567631892,-0.0952003173344,-0.0472034906783,-0.102340341134,-0.124950416501
000006.XSHE,2018-03-27 14:00:00,Gold,60m,-0.0098730606488,0.0282087447109,-0.00564174894217,-0.0296191819464,-0.0211565585331
300187.XSHE,2018-03-27 14:00:00,Gold,60m,0.00736067297581,0.00946372239748,0.0157728706625,-0.00420609884332,-0.0231335436383
002415.XSHE,2018-03-28 14:00:00,Death,60m,-0.0129995185364,-0.0175734232065,-0.0173326913818,-0.0223880597015,-0.0320173326914
600703.XSHG,2018-03-29 10:30:00,Death,60m,0.00438212094654,0.0503943908852,-0.0254163014899,-0.0337423312883,-0.0534618755478
600085.XSHG,2018-03-29 10:30:00,Death,60m,0.0342735820443,0.0333636639369,0.14194722475,0.12101910828,0.104943888383
002236.XSHE,2018-03-29 11:30:00,Death,60m,0.00434439178515,-0.0521327014218,-0.0592417061611,-0.042654028436,-0.0110584518167
601398.XSHG,2018-03-29 11:30:00,Gold,60m,0.00343642611684,-0.0171821305842,-0.0274914089347,-0.0378006872852,-0.0085910652921
000651.XSHE,2018-03-29 15:00:00,Gold,60m,0.000424899086467,-0.0261312938177,-0.0246441470151,-0.00424899086467,0.0276184406204
002236.XSHE,2018-03-30 10:30:00,Gold,60m,-0.0525069088038,-0.0485590209238,-0.0450059218318,-0.011448874852,-0.00671140939597
600085.XSHG,2018-03-30 11:30:00,Gold,60m,-0.00437700612781,0.0239276334987,0.071199299679,0.0627370878319,0.0817041143858
600703.XSHG,2018-04-02 10:30:00,Gold,60m,-0.0371297455152,-0.0721735502712,-0.09887359199,-0.0425531914894,-0.0796829370046
